day,person_direction,top_outer_category,top_outer_neck_style,top_outer_fit,top_outer_formality,top_outer_design,top_outer_length,top_outer_sleeve_length,top_outer_reflection,top_outer_color,presence_of_top_inner,top_inner_category,top_inner_neck_style,top_inner_fit,top_inner_formality,top_inner_design,top_inner_length,top_inner_sleeve_length,top_inner_reflection,top_inner_color,bottom_category,bottom_design,bottom_fit,bottom_formality,bottom_color,person_id
1,front,t-shirt,round-neck,medium,informal,graphics,short,short,no,"light_blue,dark_blue,white",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"light_brown",person1
1,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"light_blue",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"light_brown",person1
2,front,t-shirt,round-neck,medium,informal,graphics,short,short,no,"light_blue,dark_blue,white",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"light_brown",person1
2,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"light_blue",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"light_brown",person1
3,front,t-shirt,round-neck,medium,informal,text,short,short,no,"dark_grey,black",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"light_brown",person1
3,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"black",no,?,?,?,?,?,?,?,?,"?",shorts,solid,medium,informal,"light_brown",person1
4,front,t-shirt,round-neck,medium,informal,graphics_with_text,short,short,no,"light_grey,black,white,red",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
4,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"light_grey",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
5,front,t-shirt,round-neck,medium,informal,graphics,short,short,no,"light_blue,dark_blue,white",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
5,back,t-shirt,round-neck,medium,informal,solid,short,short,no,"light_blue",no,?,?,?,?,?,?,?,?,"?",long_pants,solid,medium,semi-formal,"black",person1
